[16/12/2019 08:19:59] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 08:21:43] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 08:23:31] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 08:25:14] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 08:26:58] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 08:28:42] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 08:30:12] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 08:31:54] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 08:33:45] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 08:35:22] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 08:37:11] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 08:38:58] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 08:40:41] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 08:42:25] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 08:44:11] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
